"","logFC","logCPM","PValue","FDR"
"YNR034W-A",1.52741248987967,5.29444514437733,2.43649403966731e-11,5.30027030614393e-10
"R0040C",-0.896981785899115,9.97726328741343,2.44868805806745e-11,5.30728470314472e-10
"YBL003C",-0.908079069523544,9.03979441767321,2.64137707654642e-11,5.70402487661502e-10
"YJL200C",1.05166146000585,6.02180709768611,3.15250388773615e-11,6.7830420013581e-10
"YDR018C",-2.08596985047511,4.25453133333241,3.22769058164058e-11,6.91900276146042e-10
"YBL085W",-0.922743722262398,7.68464331910793,3.23908021788835e-11,6.91900276146042e-10
"YPL147W",-1.22123987231509,5.41724350319266,3.25116975834652e-11,6.91984584896991e-10
"YEL065W",1.16483739636029,6.53258285738655,3.28814535702849e-11,6.97346095969089e-10
"YMR008C",1.46952680182677,7.79940441317157,3.50350141463412e-11,7.40364923942503e-10
"YDR089W",1.50869037219926,5.61636876984798,3.67594781965176e-11,7.74042108501049e-10
"YGR086C",-0.649392108017891,10.067039208381,3.7075897956767e-11,7.77936483014859e-10
"YMR200W",-0.713377553519121,7.46744580923273,3.73206373015499e-11,7.8030463220237e-10
"YLR260W",-1.11524621545325,5.90695765839021,4.21114080675297e-11,8.77370427942158e-10
"YPR140W",-0.969184868472883,5.86977998736483,4.24242717954448e-11,8.80787425311041e-10
"YDL010W",-1.23022539503151,5.94850303225322,4.5302119660369e-11,9.37247000106306e-10
"YOR356W",-0.964742980947173,7.14108196169983,4.57182767047089e-11,9.42561126347605e-10
"YEL066W",-1.44683694749939,5.56356743097775,4.78464413892447e-11,9.83011783681115e-10
"YLR273C",-1.85712669411638,4.41615021087413,4.86879250892593e-11,9.96838936862101e-10
"YLR417W",-1.03208647975225,6.46047284446283,5.02383944430093e-11,1.02461908489184e-09
"YLR327C",1.61711405490609,8.0331324133461,5.03911025356641e-11,1.02461908489184e-09
"YDL072C",-0.636457380787352,8.20343165161271,5.10950884177526e-11,1.03537547317754e-09
"YNL305C",-0.869838872446054,7.20523976738748,5.55443013796132e-11,1.12169157427704e-09
"YCL049C",-0.83915116392454,6.97036176849664,6.06047799774533e-11,1.2197227317231e-09
"YLR137W",-1.05314316754616,5.7680915371725,6.13690261878064e-11,1.23091704390932e-09
"YIL026C",-1.1407887479323,5.65511268137957,6.76854606816531e-11,1.35302321234237e-09
"YKL161C",-1.25405533565385,5.34895421640387,6.94548542992319e-11,1.37950132636079e-09
"YPR006C",-1.15492216298288,5.60773232759758,6.94763216588667e-11,1.37950132636079e-09
"YOR127W",-0.902571503166957,7.03404732677689,7.35243878819939e-11,1.45499599698247e-09
"YOL163W",-2.42670793299554,3.52557633109203,7.85369410050872e-11,1.54901026642367e-09
"YPR173C",-0.664918353067895,7.67522643404042,8.28135048512036e-11,1.62793192094542e-09
"YER055C",0.795662359981643,8.43883297556115,8.68775867831335e-11,1.70216781786689e-09
"YNL277W",-1.10577991471963,6.06231340806599,9.54407403141735e-11,1.86377181663025e-09
"YGR244C",-0.884265432841033,8.30846087197302,1.01655975788845e-10,1.97861318665327e-09
"YCL030C",1.84627138332641,8.55406564297985,1.17140550199887e-10,2.26925008370514e-09
"YHR161C",-0.782177952701416,7.68923724086116,1.17355167418248e-10,2.26925008370514e-09
"YNL283C",-0.770100445378489,7.53019042590953,1.20410395449517e-10,2.32074368037392e-09
"YLL043W",-0.620088928712467,8.18044098824295,1.28257018661608e-10,2.46395058253485e-09
"YKL067W",-0.630691684182832,7.95058775913382,1.36205009544188e-10,2.6081716552523e-09
"YPR148C",-0.696901462404464,7.61610929777152,1.40302751466996e-10,2.67797219493618e-09
"YLR326W",-1.44538269197673,4.94529047517713,1.44682680828677e-10,2.75269267673081e-09
"YJR137C",-0.845359591029454,6.45725825802868,1.52711857733399e-10,2.89614122502732e-09
"YLR154W-C",0.754691729665279,10.3087950248771,1.63520348169999e-10,3.09121373840857e-09
"YJR052W",-0.924887272470838,5.96270054013311,1.7845262381148e-10,3.36275214997620e-09
"YOR289W",-1.06172445763953,5.6743881534585,1.80193056166647e-10,3.38476924869222e-09
"YBR069C",0.87924024344431,7.41058471706316,1.82126216166827e-10,3.41025576284530e-09
"YPR010C",0.882439776524769,7.7899775822075,1.872039317818e-10,3.49427654370003e-09
"YLR092W",-0.953759481305058,6.16751346387813,1.88422307006333e-10,3.50595846086941e-09
"YDR517W",-0.748031921472296,8.24158785663594,1.94599731161267e-10,3.60955049931416e-09
"YPR167C",-1.08661094141866,6.0893018078759,1.97840169204818e-10,3.65818837870284e-09
"YGL036W",-0.771940532596268,7.30144072987368,2.00291992428165e-10,3.69198666416651e-09
"YBR207W",-0.765615022902086,7.26395435015473,2.1406197026675e-10,3.93355490083341e-09
"YDR074W",0.539929151459622,9.32883243012154,2.18422315811931e-10,4.00125338284581e-09
"YJL170C",-1.65751688382443,4.43579786741864,2.50103976927409e-10,4.56748528234408e-09
"YDR507C",-0.966305146477218,6.34394169829363,2.7173651917383e-10,4.94727687369708e-09
"YFR041C",-0.883038449439075,6.10023111517645,2.73027400506888e-10,4.95553106993636e-09
"YPR115W",-0.669001187601592,7.47428126171852,2.79154944186909e-10,5.05125322554722e-09
"YGR289C",-0.990632164960704,6.54516568736501,2.96649888253414e-10,5.35145545364467e-09
"YGR155W",0.744205494396376,8.98612044918947,3.34229324762892e-10,6.01104837271134e-09
"YOR142W",-0.685511275664018,8.00489813651371,3.63403678469285e-10,6.51593807728108e-09
"YBR162C",-0.512234394638946,9.9830632046089,3.92519838900962e-10,7.01673681805738e-09
"YBR203W",-0.890802945963453,6.68047999154218,4.52945863017197e-10,8.07253214299023e-09
"YBR089C-A",-0.721332132089499,7.25180162919072,4.70139336680472e-10,8.35379716257764e-09
"YDR076W",-1.63233499725803,4.66399232403617,4.97287133631347e-10,8.8097244601697e-09
"YER063W",-0.878648530667355,7.00003360440067,5.05063500481635e-10,8.9024476017293e-09
"YBR043C",-0.837522441346308,6.5453498918247,5.05530233932913e-10,8.9024476017293e-09
"YNL336W",-0.931336383576144,5.98333789616942,5.30405928208727e-10,9.31279488786658e-09
"YNL030W",-0.574011047501314,9.79207647536562,5.46336450910861e-10,9.56412065100463e-09
"YIL077C",-0.96546076565857,6.37803576143051,5.48589257012036e-10,9.57522900808324e-09
"YBL113C",-0.936113203700136,7.37059935578606,5.59589949618618e-10,9.73851097615694e-09
"YGL185C",-1.14584639312215,5.24239143534634,5.73740434602587e-10,9.95549018047949e-09
"YBR077C",-0.986999039362235,5.95411915746041,5.89235679928174e-10,1.01944664272953e-08
"YGR211W",1.05673669857198,6.18737766620011,5.91514925214171e-10,1.02040635932719e-08
"YPL015C",-0.914916558670013,7.04598896635505,5.97926560698089e-10,1.02846844757285e-08
"YER088C",-0.632393179341917,8.99398659486064,6.09715080039294e-10,1.04570554451956e-08
"YNL233W",-0.896083031677455,5.92990991493783,6.34241357192796e-10,1.08462604349994e-08
"YJL082W",0.759298187390875,7.45610927031577,6.39736952020435e-10,1.09087133864695e-08
"YCR079W",-0.91338009431756,6.67556626622098,6.5202172391856e-10,1.1086242932259e-08
"YMR042W",-1.0815703240339,5.47597699880642,6.54492264847006e-10,1.10963631263603e-08
"YJL173C",-0.920465246287023,5.94281034276325,7.2743397069622e-10,1.2297790870313e-08
"YLR281C",-1.57439709224351,4.30053328566782,7.33053163265614e-10,1.23574802479847e-08
"YOR374W",-0.947894961980517,10.2781921489029,7.60428084138959e-10,1.2782536857529e-08
"YJL210W",-0.825967238001106,7.06276514135464,8.74457001458252e-10,1.46576829394575e-08
"YGR246C",-0.809038677312843,6.40696816668202,9.26955337291387e-10,1.54937704258563e-08
"YAL044C",1.18070404598631,7.07205493089477,9.74209839074172e-10,1.62377454022588e-08
"YGL073W",-0.659345981889591,7.40679784917137,1.00705435734454e-09,1.67380354842912e-08
"YGR266W",-0.748699624533843,6.72928203073483,1.06124083955489e-09,1.75892494331829e-08
"YGR177C",1.42267867404048,4.95876784570553,1.07070603185789e-09,1.76965575153719e-08
"YDL085W",-1.97920675796191,3.91979431282161,1.12237015572745e-09,1.84987861042878e-08
"YPR159W",-0.569584102227722,8.44543154083791,1.18369997482099e-09,1.94554243083772e-08
"YJR139C",-0.553308933039077,8.7948279150775,1.27414873105622e-09,2.08360233091061e-08
"YIR038C",-0.802869953583912,6.87196022416688,1.2747406520021e-09,2.08360233091061e-08
"YOL154W",-1.26266203052057,5.04845880401031,1.32916131417555e-09,2.16656955812031e-08
"YHL025W",-0.67341760508756,7.74898371200972,1.39662968708726e-09,2.27029062046575e-08
"YPL123C",-1.05714619397529,5.56850459557143,1.40541963106457e-09,2.27831998822166e-08
"YMR265C",-0.885834574651861,6.483343334717,1.49696373424739e-09,2.42009137036662e-08
"YOR126C",-1.11832116234629,5.16354101911394,1.50870991001078e-09,2.43243502385116e-08
